resident_id,shelter_id,length_of_stay_days,primary_language,digital_familiarity,mobility_level,has_children,dietary_restrictions,cultural_background,gender_identity
R001,S132,282,Arabic,medium,full,yes,vegetarian,Middle Eastern,Cisgender woman
R002,S051,299,Cantonese,low,full,no,none,East Asian,Cisgender woman
R003,S014,45,English,medium,full,yes,vegetarian,Black,Cisgender woman
R004,S128,110,Hindi,low,full,yes,halal,South Asian,Transgender woman
R005,S139,200,English,medium,full,no,other,White,Prefer not to say
R006,S025,222,Punjabi,medium,full,no,gluten-free,South Asian,Two-Spirit
R007,S120,301,Mandarin,high,limited,no,vegetarian,East Asian,Prefer not to say
R008,S069,194,English,medium,limited,yes,none,White,Cisgender woman
R009,S078,207,English,medium,full,yes,none,Latin American,Cisgender woman
R010,S094,236,English,low,wheelchair,yes,none,Black,Two-Spirit
R011,S090,219,English,low,limited,no,gluten-free,White,Cisgender woman
R012,S024,223,English,medium,wheelchair,yes,gluten-free,Indigenous,Two-Spirit
R013,S045,271,English,low,limited,yes,vegetarian,White,Cisgender woman
R014,S097,250,English,low,full,no,gluten-free,White,Non-binary
R015,S123,71,Spanish,low,full,no,halal,Latin American,Cisgender woman
R016,S144,232,English,medium,full,no,vegan,Latin American,Two-Spirit
R017,S131,51,English,low,full,no,vegetarian,White,Cisgender woman
R018,S134,267,English,low,full,yes,none,White,Cisgender woman
R019,S041,277,English,high,full,yes,vegan,Indigenous,Two-Spirit
R020,S044,157,English,low,full,no,none,Indigenous,Two-Spirit
R021,S040,32,English,low,full,yes,none,White,Cisgender woman
R022,S055,140,English,low,limited,yes,none,White,Cisgender woman
R023,S013,280,English,medium,wheelchair,yes,halal,Middle Eastern,Cisgender woman
R024,S087,177,Cantonese,medium,limited,yes,vegan,East Asian,Cisgender woman
R025,S041,141,English,medium,full,yes,none,Indigenous,Two-Spirit
R026,S009,42,Spanish,medium,full,no,gluten-free,Latin American,Cisgender woman
R027,S034,47,English,medium,limited,yes,other,White,Non-binary
R028,S077,178,English,high,wheelchair,yes,none,East Asian,Cisgender woman
R029,S068,289,Mandarin,high,full,yes,none,East Asian,Cisgender woman
R030,S061,46,Indigenous language,low,limited,no,vegan,Indigenous,Two-Spirit
R031,S021,134,English,medium,wheelchair,no,other,White,Cisgender woman
R032,S033,294,English,high,full,no,none,White,Two-Spirit
R033,S090,170,English,medium,full,yes,halal,Middle Eastern,Cisgender woman
R034,S009,42,Cantonese,low,full,yes,vegetarian,East Asian,Cisgender woman
R035,S033,174,Japanese,medium,full,yes,none,East Asian,Cisgender woman
R036,S116,243,Punjabi,low,wheelchair,no,halal,South Asian,Cisgender woman
R037,S012,250,Mandarin,high,wheelchair,no,vegan,East Asian,Cisgender woman
R038,S134,230,Mandarin,high,wheelchair,yes,vegan,East Asian,Cisgender woman
R039,S142,314,Farsi,low,wheelchair,yes,halal,Middle Eastern,Cisgender woman
R040,S074,140,English,low,wheelchair,yes,vegan,Black,Cisgender woman
R041,S032,39,English,medium,limited,no,none,White,Transgender woman
R042,S002,286,English,medium,limited,yes,none,White,Cisgender woman
R043,S042,48,Indigenous language,medium,wheelchair,yes,none,Indigenous,Two-Spirit
R044,S017,251,Mandarin,medium,full,no,none,East Asian,Cisgender woman
R045,S009,44,Indigenous language,low,full,no,none,Indigenous,Cisgender woman
